datestr,XCENU,YCENU,XCENO,YCENO,DXCEN,DYCEN,totalTime,timeOfYear,timeOfDay,T_SPCCD,T_SPCEB
20110101_065127,-598.687317,-385.336823,-619.500305,-391.698090,20.812988,6.361267,4.274841,0.000782,0.285729,-35.485500,-2.910680
20110101_184504,-528.517822,-381.285858,-546.655823,-387.738312,18.138000,6.452454,4.276198,0.002139,0.781296,-31.282400,-2.521960
20110102_072504,-440.145020,-377.385529,-461.644806,-383.847900,21.499786,6.462372,4.277643,0.003584,0.309074,-38.493300,-3.548130
20110102_130004,-402.661011,-374.280609,-422.016846,-382.265839,19.355835,7.985229,4.278280,0.004221,0.541713,-37.325400,-3.982360
20110102_192004,-358.105347,-372.635254,-375.668365,-380.600586,17.563019,7.965332,4.279002,0.004943,0.805602,-31.113700,-2.175330
20110103_000003,-321.789093,-370.833893,-340.674896,-379.435852,18.885803,8.601959,4.279535,0.005476,0.000035,-31.619700,-1.910970
20110103_120003,-227.801163,-367.519257,-247.745850,-376.781982,19.944687,9.262726,4.280904,0.006845,0.500035,-38.576700,-4.397850
20110103_182233,-178.599380,-368.446289,-197.148865,-375.599670,18.549484,7.153381,4.281631,0.007572,0.765660,-31.198000,-2.603650
20110104_004003,-128.847458,-365.429901,-146.319824,-374.559845,17.472366,9.129944,4.282349,0.008290,0.027813,-30.691600,-1.626940
20110106_183629,453.993500,-285.209503,435.238556,-298.215302,18.754944,13.005798,4.289871,0.015812,0.775336,-31.872600,-2.379100
20110106_200005,464.922607,-285.782440,445.821533,-298.476929,19.101074,12.694489,4.290030,0.015971,0.833391,-31.113700,-0.516838
20110106_231107,488.117523,-285.536865,469.536499,-299.112366,18.581024,13.575500,4.290393,0.016334,0.966053,-32.967200,-1.768880
20110107_010005,501.286530,-287.114594,482.900024,-299.506622,18.386505,12.392029,4.290600,0.016541,0.041725,-31.198000,-0.657677
20110107_023006,512.181274,-285.809052,493.869476,-299.841797,18.311798,14.032745,4.290771,0.016712,0.104236,-32.209600,-0.476616
20110107_052505,526.908752,-285.930145,508.750488,-299.988647,18.158264,14.058502,4.291104,0.017045,0.225752,-44.133000,-5.276800
20110108_111346,722.538574,-292.971436,703.790039,-309.857361,18.748535,16.885925,4.294505,0.020446,0.467894,-35.569200,-3.486260
